Type,Date,Time,Location,City,County,Zip,Geocode
NFS,10/19/2013,2230,Washington Grove Ln @ Mineral Springs Dr,Gaithersburg,Montgomery,20877,"Washington Grove Ln @ Mineral Springs Dr
Gaithersburg 20877
(39.15235351700045, -77.16477693299964)"
NFS,10/19/2013,2230,Washington Grove Ln @ Mineral Springs Dr,Gaithersburg,Montgomery,20877,"Washington Grove Ln @ Mineral Springs Dr
Gaithersburg 20877
(39.15235351700045, -77.16477693299964)"
NFS,05/20/2013,1700,10631 Stedwick Road,Gaithersburg,Montgomery,20886,"10631 Stedwick Road
Gaithersburg 20886
(39.17462131400049, -77.21200304799964)"
NFS - self inflicted,08/23/2013,1740,18902 Mills Choice Rd,Montgomery Village,Montgomery,20886,"18902 Mills Choice Rd
Montgomery Village 20886
(39.166891304000444, -77.20816234899968)"
NFS,05/10/2013,2040,8875 Piney Branch Rd.,Silver Spring,Montgomery,20903,"8875 Piney Branch Rd.
Silver Spring 20903
(38.999823285000446, -76.99115808699963)"
NFS,11/04/2013,107,600 Blk Pinehurst St,Aberdeen,Harford,21001,"600 Blk Pinehurst St
Aberdeen 21001
(39.51246954800047, -76.18356791699966)"
NFS,03/09/2013,1800,"200 Blk Perrywood Ct.,",Aberdeen,Harford,21001,"200 Blk Perrywood Ct.,
Aberdeen 21001
(39.51246954800047, -76.18356791699966)"
NFS,01/01/2013,1750,4529 Chapelgate Ct.,Belcamp,Harford,21017,"4529 Chapelgate Ct.
Belcamp 21017
(39.4777022990005, -76.24305026999963)"
NFS,04/13/2013,0,Unknown,Cockeysville,Baltimore,21030,"Unknown
Cockeysville 21030
(39.4759367420005, -76.63450996799963)"
NFS,06/10/2013,2007,1800 block of Grempler Way,Edgewood,Harford,21040,"1800 block of Grempler Way
Edgewood 21040
(39.43067916500047, -76.30299908299963)"
NFS,05/27/2013,1450,Brookside Dr,Edgewood,Harford,21040,"Brookside Dr
Edgewood 21040
(39.432878778000486, -76.31667143399966)"
NFS,01/31/2013,2230,1600 Blk Candlewood Ct.,Edgewood,Harford,21040,"1600 Blk Candlewood Ct.
Edgewood 21040
(39.43067916500047, -76.30299908299963)"
NFS,06/05/2013,2300,1800 block of Grempler Way,Edgewood,Harford,21040,"1800 block of Grempler Way
Edgewood 21040
(39.43067916500047, -76.30299908299963)"
NFS,08/22/2013,15,5895 Harpers Farm Rd,Columbia,Howard,21044,"5895 Harpers Farm Rd
Columbia 21044
(39.21843515900048, -76.87990826799967)"
NFS - self inflicted,07/22/2013,1958,10 E Jarrettsville Rd,Forest Hill,Harford,21050,"10 E Jarrettsville Rd
Forest Hill 21050
(39.58494738100046, -76.38648552899963)"
NFS - self inflicted,07/18/2013,54,2119 High Point Rd,Forest Hill,Harford,21050,"2119 High Point Rd
Forest Hill 21050
(39.572679036000466, -76.42431839799963)"
NFS,01/28/2013,2140,7800 Blk South Hampton Dr.,Glen Burnie,Anne Arundel,21060,"7800 Blk South Hampton Dr.
Glen Burnie 21060
(39.16437812300046, -76.59467930199963)"
